user,timeout,seconds,threads,stream,bandwidth,throughput,droprate-belatrix,droprate-dobby,droprate-draco,droprate-harry,latency-belatrix,latency-dobby,latency-draco,latency-harry,droprate-total,latency-total
c14jmt, 1000, 60, 150, [4], 198701.65442095266, 0.33688295901989856, 7.221846084405326, 7.133822413356944, 6.176620724859623, 7.435197817189632, 473.87764534176597, 540.809861073277, 534.3182807399347, 461.60820437239005, 6.991871759952881, 502.65349788184193
c14jmt, 1000, 60, 200, [4], 267630.54778088763, 0.45374645280776577, 6.725297465080186, 7.094778970347463, 6.66908300108735, 7.045494777836785, 478.4649657977445, 507.2157822596436, 506.32873786407765, 491.194629594363, 6.883663553587946, 495.80102887895725
c14jmt, 1000, 60, 250, [4], 420315.6843156843, 0.7126120407370407, 7.1630643883670935, 6.794464609800363, 6.542902422458682, 6.918882072256305, 381.6618722574354, 384.93038821954485, 378.7232315891473, 377.58208226534845, 6.854828373220611, 380.724393582869
c14jmt, 1000, 60, 300, [4], 413761.7905675459, 0.7015004315991651, 6.9698692438885725, 7.326172979084228, 7.012368092590491, 6.683465322774178, 472.06783182595944, 467.3808710503843, 470.83685173886516, 504.15738716728816, 6.997968909584368, 478.61073544562424
c14jmt, 1000, 60, 350, [4], 419814.43196005, 0.7117622069635179, 6.476949345475242, 6.711333181921416, 6.813786827437152, 6.848072562358276, 570.3488315481986, 567.4755934266585, 560.4581298828125, 558.3859542356378, 6.712535479298022, 564.1671272733269
c14jmt, 1000, 60, 400, [4], 321309.38389572344, 0.5447546791851865, 13.985742060920286, 14.665977516474996, 14.758531873792661, 24.714448886350656, 728.6983122362869, 722.6594488188977, 719.2597069043662, 744.9283140527214, 17.03117508438465, 728.8864455030681
c14jmt, 1000, 60, 450, [4], 235634.91059238787, 0.3995003773878104, 35.63440563302499, 36.47141848976712, 34.37941758552446, 35.73811509591326, 855.1542256542257, 888.7336147522773, 883.9877208099957, 858.4073112697382, 35.55583920105746, 871.5707181215593
c14jmt, 1000, 60, 500, [4], 174091.07856191747, 0.2951576717154905, 72.29559281792551, 46.93301049233253, 45.85437151209142, 49.471974004874085, 1038.787359400107, 917.6697084917618, 904.9045398773006, 919.8314576634513, 53.638737206805885, 945.2982663581552
c14jmt, 1000, 60, 50, [4], 144463.08422894278, 0.24492574772973424, 7.263092269326683, 7.200247218788627, 6.5712426805465185, 7.857952398942198, 182.64235294117648, 181.3876123876124, 179.04213091922006, 207.64944649446494, 7.223133641901007, 187.6803856856185
c14jmt, 1000, 60, 100, [4], 288641.3755185685, 0.4893686515275209, 6.904525933267261, 7.174666006927263, 7.153453106972145, 7.044334975369458, 190.89655784244144, 187.76457000710732, 187.58565595597372, 187.8544426779721, 7.069245005634032, 188.52530662087364
c14jmt, 1000, 60, 150, [4], 302729.6171658947, 0.5132541523673074, 7.2744302216671874, 6.782636450686243, 6.610786019294639, 7.047293092719354, 303.43333333333334, 316.33932545796955, 303.8159187129551, 294.29121338912137, 6.928786446091856, 304.46994772334483
c14jmt, 1000, 60, 200, [4], 320505.3473263368, 0.5433914986950968, 6.464616303374142, 6.65068903535051, 7.133343199644812, 7.0180633698549, 407.8657621707901, 407.64553915275997, 399.03362549800795, 400.19156050955417, 6.8166779770560915, 403.68412183277803
c14jmt, 1000, 60, 250, [4], 406605.53880997194, 0.6893675720383909, 7.070588235294117, 7.116322266078477, 6.706600892647405, 6.9203747072599535, 398.16343840992533, 391.6854143232096, 392.27445549540477, 389.28531890803873, 6.953471525319988, 392.8521567841446
c14jmt, 1000, 60, 300, [4], 419910.0809271656, 0.7119243722316582, 6.820756854747337, 7.459154929577465, 7.051209265357103, 6.565024462396177, 471.5356274319066, 464.5229514184829, 471.5577815783044, 475.5204578665368, 6.9740363780195205, 470.7842045738077
c14jmt, 1000, 60, 350, [4], 215163.26462655255, 0.3647923187706037, 33.8946723821188, 35.472, 34.40210656753408, 34.6432424102327, 661.9935155164428, 671.0054549962807, 654.9272727272727, 647.1089365715633, 34.60300533997139, 658.75879495289
c14jmt, 1000, 60, 400, [4], 52292.73490044616, 0.08865820126079332, 80.11586619323491, 84.34453948677142, 79.20238538948938, 79.02894491129786, 1077.8157894736842, 1205.7191867852605, 1088.0618279569892, 1072.9910952804987, 80.67293399519839, 1111.146974874108
c14jmt, 1000, 60, 450, [4], 38777.15998002331, 0.06574361161977693, 86.93242760100107, 88.06945481702763, 84.34012400354295, 86.03692417996056, 1209.7715458276334, 1322.173708920188, 1143.3201357466064, 1191.6842105263158, 86.34473265038305, 1216.737400255186
c14jmt, 1000, 60, 500, [4], 41061.58865437113, 0.06961667998313248, 84.97803311929705, 87.29849424269264, 86.27749576988155, 86.67895442359249, 1233.2744656917885, 1417.694560669456, 1321.7472256473488, 1285.319496855346, 86.30824438886593, 1314.5089372159848
c14jmt, 1000, 60, 50, [4], 84386.32273545291, 0.14307034426448043, 7.709011943539632, 6.6275659824046915, 5.977653631284916, 7.16743119266055, 371.1805882352941, 414.5672110552764, 360.5531788472965, 363.53798641136507, 6.870415687472447, 377.459741137308
c14jmt, 1000, 60, 100, [4], 309851.4087675158, 0.5253285874557764, 7.37972909855208, 6.84847556304581, 6.851624770079706, 6.9328051196099345, 169.81173306438058, 170.84309210526317, 170.60770116833964, 168.76309757694827, 7.003158637821882, 170.00640597873291
