user,timeout,seconds,threads,stream,bandwidth,throughput,droprate-belatrix,droprate-dobby,droprate-draco,droprate-harry,latency-belatrix,latency-dobby,latency-draco,latency-harry,droprate-total,latency-total
c14jmt,1000,60,1,5,998.266897746967,0.001692482668977,17.0212765957447,100,100,100,551.230769230769,-1,-1,-1,17.0212765957447,551.230769230769
c14jmt,1000,60,1,5,1125.98713804938,0.001909022247398,16.9811320754717,100,100,100,465.681818181818,-1,-1,-1,16.9811320754717,465.681818181818
c14jmt,1000,60,1,5,1010.82936256706,0.001713781335732,15.9574468085106,100,100,100,556.835443037975,-1,-1,-1,15.9574468085106,556.835443037975
c14jmt,1000,60,1,5,1087.87308147383,0.00184440287522,15,100,100,100,510.023529411765,-1,-1,-1,15,510.023529411765
c14jmt,1000,60,1,5,1036.66177842954,0.001757578156246,14.7368421052632,100,100,100,553.864197530864,-1,-1,-1,14.7368421052632,553.864197530864
c14jmt,1000,60,1,5,1062.25836555126,0.001800975147758,11.7021276595745,100,100,100,570.759036144578,-1,-1,-1,11.7021276595745,570.759036144578
c14jmt,1000,60,1,5,1190.24130115985,0.002017960105319,11.4285714285714,100,100,100,505.795698924731,-1,-1,-1,11.4285714285714,505.795698924731
c14jmt,1000,60,1,5,1215.8176273559,0.002061322746033,11.214953271028,100,100,100,492.694736842105,-1,-1,-1,11.214953271028,492.694736842105
c14jmt,1000,60,1,9,2802.82628982802,0.019007882282362,10.9756097560976,100,100,100,149.24200913242,-1,-1,-1,10.9756097560976,149.24200913242
c14jmt,1000,60,1,10,2265.29796027196,0.015362534995334,10.6060606060606,100,100,100,217.762711864407,-1,-1,-1,10.6060606060606,217.762711864407
c14jmt,1000,60,1,5,1126.2310653402,0.001909435806851,10.2040816326531,100,100,100,554.875,-1,-1,-1,10.2040816326531,554.875
jwestin,1000,60,1,5,1241.43447540328,0.002104754088344,10.1851851851852,100,100,100,497.268041237113,-1,-1,-1,10.1851851851852,497.268041237113
c14jmt,1000,60,1,1,2956.35654651802,0.001253067248246,9.765625,100,100,100,151.147186147186,-1,-1,-1,9.765625,151.147186147186
c14jmt,1000,60,1,3,2866.81775763232,0.001215115762343,9.67741935483871,100,100,100,159.727678571429,-1,-1,-1,9.67741935483871,159.727678571429
jwestin,1000,60,1,5,1318.22423676843,0.002234945062881,9.64912280701754,100,100,100,465.640776699029,-1,-1,-1,9.64912280701754,465.640776699029
c14jmt,1000,60,1,6,2431.63525471179,0.004122645492065,9.52380952380952,100,100,100,209.5,-1,-1,-1,9.52380952380952,209.5
c14jmt,1000,60,1,7,2981.30685415348,0.020218281074717,9.33852140077821,100,100,100,153.678111587983,-1,-1,-1,9.33852140077821,153.678111587983
c14jmt,1000,60,1,3,3033.14502824576,0.001285614449499,9.19540229885057,100,100,100,148.725738396624,-1,-1,-1,9.19540229885057,148.725738396624
c14jmt,1000,60,1,1,3097.13542968555,0.00131273711721,9.02255639097744,100,100,100,148.400826446281,-1,-1,-1,9.02255639097744,148.400826446281
jwestin,1000,60,1,5,1305.09971177715,0.002212693467504,8.92857142857143,100,100,100,479.56862745098,-1,-1,-1,8.92857142857143,479.56862745098
c14jmt,1000,60,1,7,3135.52967054942,0.021264171485388,8.92193308550186,100,100,100,146.14693877551,-1,-1,-1,8.92193308550186,146.14693877551
c14jmt,1000,60,1,10,2367.64485327201,0.016056619284885,8.86699507389163,100,100,100,224.924324324324,-1,-1,-1,8.86699507389163,224.924324324324
c14jmt,1000,60,1,3,3058.74118882168,0.001296463516584,8.77862595419847,100,100,100,154.083682008368,-1,-1,-1,8.77862595419847,154.083682008368
c14jmt,1000,60,1,1,3096.61940385545,0.001312518396952,8.67924528301887,100,100,100,152.400826446281,-1,-1,-1,8.67924528301887,152.400826446281
c14jmt,1000,60,1,2,3148.32775083738,0.001334435251379,8.55018587360595,100,100,100,149.642276422764,-1,-1,-1,8.55018587360595,149.642276422764
